solver,episode,total_cost
ortools,0,1979.0
ortools,1,3206.0
ortools,2,2009.0
ortools,3,2333.0
ortools,4,1979.0
ortools,5,2033.0
ortools,6,2280.0
ortools,7,2009.0
ortools,8,2411.0
ortools,9,1999.0
ortools,10,3065.0
ortools,11,1001959.0
ortools,12,2361.0
ortools,13,1979.0
ortools,14,3930.0
ortools,15,2341.0
ortools,16,1760.0
ortools,17,2361.0
ortools,18,2021.0
ortools,19,2013.0
ortools,20,1770.0
ortools,21,1968.0
ortools,22,2009.0
ortools,23,1979.0
ortools,24,1620.0
ortools,25,2021.0
ortools,26,2309.0
ortools,27,2732.0
ortools,28,3419.0
ortools,29,2021.0
ortools,30,3070.0
ortools,31,2594.0
ortools,32,3407.0
ortools,33,2033.0
ortools,34,1620.0
ortools,35,2333.0
ortools,36,2361.0
ortools,37,2361.0
ortools,38,2361.0
ortools,39,1976.0
ortools,40,2019.0
ortools,41,2653.0
ortools,42,1620.0
ortools,43,2280.0
ortools,44,3226.0
ortools,45,1003059.0
ortools,46,2361.0
ortools,47,3407.0
ortools,48,3226.0
ortools,49,2363.0
